CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
GVR,2024,4,2706793669281,728981955654,107244631626,-49203853529,0,-431570177244,93776500031,0,3156022725819,-277741048862,-1247473322511,1381485869514,-2599552369579,-70472925981,-325706112401,-77734009117,-1730671502150,-1791842695268,-20529662667,-161951394735,444508168100,-424151078415,-2395724298,0,-79363124279,-243882816294,0,0,3560683568666,-1254497754070,0,5911649315,0,2312097463911,276371952349,5861455764689,49203853529,6187031570567
GVR,2024,3,1306406770290,710091590295,87492810,181628121143,0,-379667246346,81287573713,0,1899834301905,-424350889374,212988773478,931494820344,204700462648,-42467261366,-55880251741,2318645377395,-1024474582119,4020490751170,-189860737886,222642572708,-1728046263663,-29114930392,-1720000000,0,68591038677,-1657508320556,0,0,966020341136,-1492899531211,0,3308382650,0,-523570807425,1839411623189,4203672262643,-181628121143,5861455764689
GVR,2024,2,1124198925483,584859211765,4907309805,-166422324469,0,953855927362,90526866806,0,2591925916752,500808317187,-246551344743,135476222293,-198282544330,-115696432322,225129313553,-708714405447,-1140131974262,1043963068681,-129217467173,67213980531,-1251393193209,392575450987,-3375000000,0,-44744374370,-968940603234,0,0,882916587772,-1547041291144,0,14783234984,0,-649341468388,-574319002941,4611568941115,166422324469,4203672262643
GVR,2024,1,778493106267,601889514729,-8028161027,-11483011088,0,-1715813263683,94023493348,0,-260918321454,88429981288,278279684859,-1022588605245,-41615952388,-84866499246,-621751502843,746101659235,-111456752090,-1030386307884,-122680364250,100530666849,-1063865271389,1614607160704,-3395082000,0,222365098554,747562208468,0,0,1082319356392,-1734782415322,0,-28715922141,0,-681178981071,-964003080487,5564089010514,11483011088,4611568941115
GVR,2023,4,1671824924423,683467977203,29170250592,-16409245598,0,-529304168171,114630440966,0,1953380179415,-126569368418,314264774029,236954201982,45141308076,-97601831027,-204690621063,1091815502102,-4903038120825,-1690343975729,-267151872374,244871197934,1846672782824,-395450013454,-3009652887,3000001000,123144023634,1552076466677,0,0,1431160369940,-1076192351928,0,-89617252885,0,265350765127,127083256075,5534414228098,16409245598,5677906729771
GVR,2023,3,622186362463,618961558110,-26162130156,5220356537,0,-385693644838,85426215156,0,919938717272,-145918443339,219386660068,572779725724,189228650381,-188638878257,-568019244039,2532953158476,-273362106067,3258348240219,5897257670,120513777208,-1512937551524,-1746739556,-133061085356,0,-15923403287,-1537257744845,0,0,817057630156,-1300496928354,0,722869471,0,-482716428727,1238374066647,4301260517988,-5220356537,5534414228098
GVR,2023,2,881917424904,578798942573,-35053624043,27982542854,0,412105897251,-248251457417,0,1617499726122,121988672917,186473171183,36455641291,52897842907,-38854522131,349201491158,-851329509088,626160670607,2100493184966,-339354428341,65460358457,-1467200087986,703206971579,2362265834,0,18805272113,-1016719648344,0,0,1126238050659,-1484981326375,0,27662532970,0,-331080742746,752692793876,3576550266966,-27982542854,4301260517988
GVR,2023,1,947879551549,561275832426,-12375576579,8511415383,0,-1254614300775,490848598668,0,741525520672,41084881790,105742659041,-1197226420176,-187424190313,-216656362298,-376674835535,892218594273,-626160670607,-823570823153,-160012048879,112837847728,-1126629040539,1380997168922,-9276649127,0,226032618567,423949896672,0,0,1197387906781,-1543789451299,0,-39208391174,0,-385609935692,-785230862173,4370292544522,-8511415383,3576550266966
GVR,2022,4,1659478254742,584973101940,56239016946,7164045883,0,-1051866752194,135190692016,0,1391178359333,-314799145484,1400642927723,59585804163,-43488623819,-114874895306,-236792513733,1145380500625,-4522634468266,-1235802054764,38228010695,22861315499,672857372545,25463487753,-6576350801,0,18723211434,771557047125,0,0,724939951435,-1059857526849,0,-169149930002,0,-504067505416,-968312513055,5139700491513,-7164045883,4164223932575
GVR,2022,3,1180651241595,613604521544,-9149506663,39130372827,0,499921912213,125792619081,0,2449951160597,-122663390208,-830478682472,106268266851,230660177981,-115991385166,-136634166008,-515362790490,0,1065749191085,-125770094972,178235789621,-1187014846643,30176910105,4939126727,0,-18402508776,-1117835623938,0,0,918668359303,-1661340395454,0,524269083,0,-742147767068,-794234199921,5973065064261,-39130372827,5139700491513
GVR,2022,2,1397798591471,569119901788,-2334906675,-18290663171,0,-468318045435,114189185275,0,1592164063253,701280215369,-652041608623,129726643754,391826861894,-99714328148,-167319501169,284861174345,454509179521,2635292700196,-216633983893,6500997551,-1808824684328,497858530058,-25977600638,0,32386936157,-1514689805093,0,0,1214414872582,-1477666154268,0,45577797611,0,-217673484075,902929411028,5051844990062,18290663171,5973065064261
GVR,2022,1,1499275181572,625064296389,64401954126,3668062137,0,-237802988592,126126544553,0,2080733050185,-260060811753,-469136867113,-975676106782,-469471326174,-101290928107,-220548962032,432692488123,-454509179521,-437268643174,-171446392936,128401222238,-1197806592158,1525707090947,-18895494577,0,222018028924,487977862438,0,0,1368139598326,-1608206888161,0,-58748217998,0,-298815507833,-248106288569,5303619340768,-3668062137,5051844990062
GVR,2021,4,2098105858192,542448743340,8429755382,3285047238,0,-142920169962,149982084060,0,2659331318250,-245017308802,35453964340,1011214620421,-144587780189,0,-455618181691,135722744703,-5269358187792,-2272858810760,-500559019719,-179668786432,1373982814659,-489781723973,38661998686,40575341676,388974497667,672185122564,0,0,1655206659248,-2148198558574,0,99660845806,0,-393331053520,-1994004741716,7325879254255,-3285047238,5328589465301
GVR,2021,3,1669962815295,628177457934,23402796260,10453230199,0,344105429468,155537227760,0,2831638956916,-153737083616,-433068626001,337108042739,308421360583,0,-677824946650,-14600001151,0,2197937702820,-75711482463,214756940535,-891256994985,142795602558,-52200400000,0,5240617483,-656375716872,0,0,-173929772214,-398030115753,0,-190832995396,0,-762792883363,778769102585,6557563381869,-10453230199,7325879254255
GVR,2021,2,1264471185132,547996917869,-5420332125,6372128374,0,-332341604919,129519085126,0,1610597379457,256077037501,-687619262387,644357858223,-110427623677,-102084457002,309050558348,1789501603047,933422767674,4642875861184,-198316488418,-5169221656,-1752264548137,727585862471,-821180218,0,-33681441507,-1262667017465,0,0,527694385413,-2047836243924,0,45325598140,0,-1474816260371,1905392583348,4658542926895,-6372128374,6557563381869
GVR,2021,1,1303977102002,547177896021,-7428157247,1013878657,0,-221232892878,147115291428,0,1770623117983,277214662836,-408202436275,-982864763850,77595808463,-132082842620,-358297903688,184597007783,-933422767674,-504840117042,-186909554163,127228207801,-1317507142683,1323210816474,-17693819782,0,307541951744,235870459391,0,0,1426580579687,-1965156998592,0,-61180732722,0,-599757151627,-868726809278,5528283614830,-1013878657,4658542926895
GVR,2020,4,3652592919231,976808199329,49288645008,11594340881,0,-1604445401110,262816256119,0,3348654959458,-388542136625,527003642146,-2599772278528,-147374705717,-210434680628,-619327826520,-249096022233,334557974173,1264714125,-305436944977,-122601238457,1070988014506,-895117100959,5697624141,47509209936,-199002970517,-397963406327,0,0,3216107413342,-2837595230484,0,117665486043,0,496177668901,99478976699,6130627169973,-11594340881,6218511805791
GVR,2020,3,1463072920528,530313388170,-7563754335,3414302805,0,-271056237243,191494522550,0,1909675142475,27886749398,753461426490,3086490026236,-203429662364,-272590026024,-87189495710,6698789740,-2332389220003,2888613730238,-156847754197,2409255571,-491052453384,54839725462,-17925991000,0,24724444223,-583852773325,0,0,896518326857,-1161420044543,0,-88187667127,0,-353089384813,1951671572100,4182369900678,-3414302805,6130627169973
GVR,2020,2,567937563707,467601103875,-77593809878,61316253,0,-334562021546,142470146433,0,765914298844,160791984559,-193214354497,852118763907,-164869800633,11177862123,-8887766899,370675582765,-1238470185903,555236384266,-173373405701,106570204785,-1844028132177,645805033874,-23952981000,0,-62911503831,-1351890784050,0,0,1248493035567,-1034289248814,0,-54675843535,0,159527943218,-637126456566,4819557673497,-61316253,4182369900678
GVR,2020,1,402218324420,452920033584,-19496546784,-3874599926,0,-246892077066,154519031067,0,739394165295,227110018329,181987563268,-1151690556394,-27693700750,-160243548915,-339170731903,933915028731,-2603504068837,-2199895831176,-219216394257,131039138963,-1652421646353,1455553960949,-20627612000,0,338137975346,32465422648,0,0,1231361220637,-1296225908931,0,-66809781404,0,-131674469698,-2299104878226,7114787951797,3874599926,4819557673497
GVR,2019,4,1984895965363,447955272534,41575786137,-7907692488,0,-672851479902,193818998376,0,2000047053152,330847529899,100465203620,890822951011,311000550843,-347272343963,-266515847376,722951402448,-1000442762272,2741903737362,-658620720,-23638785184,30993002825,-842408219006,31735745994,-6066350372,-53124961594,-863168188057,0,0,1749627148503,-2020282728680,0,168141687974,0,-102513892203,1776221657102,4458357044277,7907692488,6242486393867
GVR,2019,3,1416747005439,430039924534,-10851313868,17351521768,0,-151202184435,172530172094,0,1878923449876,-176028000069,-218862261677,691807494809,136921333358,69952466,-114632283744,-846603344654,-1575044803939,-218365219574,-147195789183,-41840556512,410338666395,-263838306436,-11551647161,53123674675,-52151486420,-53115444642,0,0,874044555836,-869703534170,0,-59190510778,0,-54849489112,-326330153328,4802038719373,-17351521768,4458357044277
GVR,2019,2,896386911319,337661275215,13497862449,-13164641132,0,-720515123741,134065665081,0,692826746857,633104552118,72689916538,-153992854161,-440886870535,-219283471829,-124890850464,1664481788824,-942299795337,1181749162011,-339037668057,193753989584,-1482577663361,1515840731776,269388088084,0,10154623997,167522102023,0,0,1404071700542,-2010650974108,0,-103036242638,0,-709615516204,639655747830,4149218330411,13164641132,4802038719373
GVR,2019,1,409192779027,522411807693,-7782805025,-1064311047,0,36345330555,130116801415,0,1044325873016,120028338352,141720835506,-351999705458,-18894811753,-142569215442,-404071727886,973087901515,-1581278815813,-219651327963,-360809419912,419340810449,-1764303404648,1399166295333,-343845052756,3080000000,208563038191,-438807733343,0,0,1325606481023,-1562332453167,0,-116401298283,0,-353127270427,-1011586331733,5159740351097,1064311047,4149218330411
GVR,2018,4,2359237110060,1100154036526,685984535033,-332571956,0,-35340124776,232463549322,0,4271944642434,-810814135050,-109345849333,594671027877,-119444818818,-199157393504,-223625032784,9964336998,-842926829678,2571265948142,-606618579867,175969889065,-3880783362924,2872411230210,0,17415848990,713150871566,-708454102960,0,0,2068196924662,-2528807596124,0,0,0,-460610671462,1402201173720,3759431541373,332571956,5161965287049
GVR,2018,3,615916972537,439207551169,-6136083838,-83735769804,0,1206211703,138939933017,0,1040024767302,-255046936892,-163623741767,82978404549,-51401772989,-49308125678,-203487734929,2078620844,-385495959599,16717520841,-150885742507,77443630409,-2691871604829,1792503181398,50377879889,0,124722424192,-797710231448,0,0,2912423187324,-3093513687056,0,-8287220594,0,-189377720326,-970370430933,4646066202502,83735769804,3759431541373
