CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
GVR,2024,5915892471321,2625822272443,104211273214,-45481067943,0,-1573194759911,359614433898,0,7386864623022,-112853639761,-1002756208917,1425868306906,-2634750403649,-313503118915,-778208553432,2278298622066,-4006734810621,2242224816699,-462288231976,228435825353,-3598796560161,1553916602884,-10885806298,0,166848638582,-2122769531616,0,0,6491939853966,-6029220991747,0,-4712655192,0,458006207027,577461492110,5564089010514,45481067943,6187031570567
GVR,2023,4113891839564,2488425976550,-43408958719,46957442844,0,-2944015312045,805601777813,0,4467452766007,199569497016,842676980101,-693546845913,32224000910,-457590930686,173006972134,1728819054169,-3044098074427,3248513419311,-964954528436,611336137318,-2639190543183,1538729973579,-12303056383,1219256472,378154029977,-1087008730656,0,0,4572002442848,-5404859421904,0,-87893800763,0,-920750779819,1240753908836,4370292544522,-46957442844,5564089010514
GVR,2022,5768180052419,2458765550692,16249907119,25739685348,0,-1258065874008,501299040925,0,7512168362495,129477105416,-697830350179,-646341127416,-1773239836,-443851383747,-767483631746,1027952219968,-4769620082443,1342697872512,-802275672956,673001182623,-2616163090616,1752553505278,-46510319289,32106920695,468648744263,-538638730002,0,0,4671437328064,-6264122945504,0,-118960635968,0,-1711646253408,-907587110898,5303619340768,-25739685348,4370292544522
GVR,2021,6212769218890,2303518160158,17233034914,2375781162,0,-1114075751905,607999588765,0,8029820031984,174609297333,-1438785663332,974487344837,122811131115,-240475146962,-1180392952138,881017870951,-3402020385977,3921071527811,-865428496691,246207934029,-2634939891778,1711638307907,-43326401314,42889481421,611567649798,-931391416628,0,0,3382141215246,-6484167558274,0,-109942261055,0,-3211968604083,-222288492900,5528283614830,-2375781162,5303619340768
GVR,2020,5911174781928,2066517154614,-55070293768,9816772191,0,-2456955736965,726129832902,0,6201612510902,-29011316923,1479634682913,397075596488,-1421343423759,-619911849073,-1061985606744,845318829399,-6649087218542,-852102006740,-859279039585,253511744436,-2695607715313,1803819580252,-45774781904,39667602318,653232279208,-850430330588,0,0,7634624227313,-7390017822421,0,-118761632340,0,125844772552,-1576687564776,7114787951797,-9816772191,5528283614830
GVR,2019,4655311733199,1814118881953,90642539503,1505151538,0,-1466763195362,661091404583,0,5773203001762,747971449605,-230954610063,1571022559093,-67249595021,-709055078768,-884297641665,38999929568,-2493262616544,3751460641967,-864756814971,401772234992,-2531154566014,1969059986470,-55504922017,44974391821,733076931537,-302532758182,0,0,7508729530334,-8887740003391,0,-113364658490,0,-1492375131547,1956552752238,5159740351097,-1505151538,7114787951797
GVR,2018,4251736541519,1668566862466,587693202777,11992070600,0,-22462114058,602605200195,0,6782638692238,-1259956472194,214125251350,2288523638777,-813502561919,-551984391060,-783192717568,59889187675,-4868243192664,1068297434635,-3019613071261,714768778687,-6811787057469,6276693162209,-83327237322,59553377202,712172114077,-2151539933877,1536728985800,-7200000000,8463773279783,-8485275632936,0,-414496330875,0,1093530301772,10287802530,5161444619167,-11992070600,5159740351097
GVR,2017,4707538644635,1479288361304,-1439100757532,-2902345115,0,-1559917332127,579720150221,0,3546459560476,-513017507424,-948518409122,322934668396,-344827503842,-613608543065,-821517712088,2817820329162,-1104101450581,2493989744949,-3445330377247,1568178285063,-5941298359439,4554881357189,-16717262271,37940194000,705667669306,-2536678493399,0,0,6439723690209,-7068545072627,0,-195186069537,0,-824007451955,-866696200405,6034334324181,-6193504609,5161444619167
GVR,2016,3270766046037,1247569184432,-106801975740,-26094118666,0,-1146452293439,465340643592,0,3372049196058,1052927950075,417341859813,-183912598652,-154930575738,-511121109097,-466073193896,3450145831952,-3040393801893,3938481504132,-3609644248391,935959790901,-4459206916798,3350775290752,-25341787825,41129640019,563227433943,-3203100797399,0,0,6338943645001,-6329022782174,0,-223420063498,0,-213499200671,521881506062,5504159028735,8293789384,6034334324181
GVR,2015,2570407901742,1107731311956,-28254242095,-7926480382,0,-1243648323443,348304757259,0,2192835304349,-456864019483,886391708354,-182536541913,-512262015453,-336754391636,-570230324411,4630013984344,-4743316436482,975391181047,-6028025801833,840740992315,-3179812832598,3285017214253,-7191934220,405118371180,558420161662,-4125733829241,0,0,8925419663833,-6963623343894,0,-217872228535,0,1743924091404,-1406418556790,6832590357344,77987228181,5504159028735
GVR,2014,2987553424352,1125817934139,-29907812027,6765245402,0,-1270525325156,428696192014,0,2866591520683,705444224404,1978320095736,-2961236438026,-164039636255,-462383803567,-718125911680,5367547817813,-6731288084636,-101595863988,-6526727113644,761715691307,-8665440235456,9208579037232,-90793229695,728653340778,634522301253,-3949490208225,25650400000,-88680554599,10093768332615,-8834123861372,0,-184548095817,0,1012066220827,-3039019851386,9866719959403,4890249327,6832590357344
GVR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088979265666,-6904467904930,782489133342,-6671692074224,6419005904513,-282825514116,235113837326,883648593976,-5538728024113,61126991000,-43282779748,10125774167606,-7370323021107,0,-300961094525,0,2472334263226,-977414495221,10830277660689,13856793935,9866719959403
