CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,Cổ đông thiểu số,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Lợi thế thương mại,_Các quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
SSI,2024,70932391912367,239000238200,68837856119619,1736645866759,0,118889687789,2574910647355,0,231350675694,200196436698,1625606669387,0,130133532200,73507302559722,46680651947954,46599438522989,81213424965,26826650611768,26826650611768,0,5856098315938,0,0,73507302559722,927764853829,0,0,41677606235,0,19638639180000,19638639180000,0,0,26490726300,45501969699137,21614788489,0,0,0,0,0,150619133436
SSI,2023,65755288989500,493905528209,64562247311819,603116700662,0,96019448810,3486038113148,0,269476512837,235719785810,2821238620031,0,127489853003,69241327102648,46000434991835,45939117288138,61317703697,23240892110813,23240892110813,0,4696261511253,0,0,69241327102648,32286430398,0,0,12393462568,0,15011301370000,15011301370000,0,0,23583183500,43168931078677,30191564114,0,0,0,0,0,140533221129
SSI,2022,48731915104609,1417807262731,45402177277290,1801895779710,0,110034784878,3494467781872,0,281930596475,265112905732,2773073277309,0,148450682515,52226382886481,29842500921821,29788710759101,53790162720,22383881964660,22383881964660,0,3953892022051,0,0,52226382886481,1413299966298,0,0,2275883968,0,14911301370000,14911301370000,0,0,4821592590,27892289728472,53000229779,0,0,0,0,0,138841784986
SSI,2021,46539595154345,1114235031501,43764389792908,1585641001913,0,75329328023,4253461407737,0,188965446921,233184318475,3689345130340,0,107039438451,50793056562082,36572973831934,36479184836620,93788995314,14220082730148,14220082730148,0,2927812985141,0,0,50793056562082,1256037254114,0,0,2034798400,0,9847500220000,9847500220000,0,0,6200501681,31120908370195,24502030428,0,0,0,0,0,62568512410
SSI,2020,29040031499577,363251901483,28207692217416,317868747531,0,151218633147,6729496508663,0,148288324557,196767751014,6249810538455,0,91553847991,35769528008240,25896730955921,25823378537838,73352418083,9872797052319,9872797052319,0,2676816162826,0,0,35769528008240,199102556297,0,0,112517421701,0,6029456130000,6029456130000,0,0,3702194419,23351486249171,25668947928,0,0,0,0,0,63414755641
SSI,2019,22290867181933,1040782610354,21115393069455,99774816943,0,34916685181,4753247842980,0,147012729467,205776532750,4238855852478,0,132152673996,27044115024913,17643055244708,16409540660284,1233514584424,9401059780205,9401059780205,0,2941467041881,0,0,27044115024913,10347795737,0,0,3674667967,0,5100636840000,5100636840000,1105937946170,0,5121736077,15550226155457,37088043669,0,0,0,0,0,64855407518
SSI,2018,22270357215928,612880138860,21568296458635,56697668015,0,32482950418,1555269509433,0,118742648730,214561642609,1065902838568,0,151139195419,23825626725361,14669962197728,13469410255114,1200551942614,9155664527633,9155664527633,0,2795105924401,0,0,23825626725361,31348740192,0,0,3458152700,0,5100636840000,5100636840000,1068320391534,0,56096109184,11193158753866,40312468926,0,0,0,0,0,66959856216
SSI,2017,17227983148329,345985713191,16589161661936,286754230534,0,135537656400,1536392023519,0,161101323414,218230726962,943369693465,0,166535804923,18764375171848,10148125475946,9354274432825,793851043121,8616249695902,8616249695902,0,2212624960292,0,0,18764375171848,18082112403,0,0,114974709156,0,5000636840000,5000636840000,0,0,5119599349,8503887663684,35571900952,0,0,0,0,0,78352794222
SSI,2016,12663850207470,308564964314,12158845513791,97936055898,0,98503673467,1342980181165,0,131416882683,261341171964,750343966349,0,153100651157,14006830388635,6100018520642,5841951456398,258067064244,7906811867993,7906811867993,0,1674837853150,0,0,14006830388635,21135273595,0,0,80713062323,0,4900636840000,4900636840000,0,0,4141733170,4819340678085,25895763102,0,0,0,0,0,79101184212
SSI,2015,10974951947412,746360295275,9957195781474,29748597280,0,241647273383,1178479650116,0,131682063084,268409921032,687417114391,0,90672211609,12153431597528,5425822583238,4702545475813,723277107425,6727609014290,6727609014290,0,1341790215838,0,0,12153431597528,11301258947,0,0,228968173829,0,4800636840000,4800636840000,0,0,4893483331,3913847967537,2405087368,0,0,0,0,-4609514439,81140362365
SSI,2014,6412052850650,1952651885005,2189454760896,2251259460755,0,18686743994,2502382615087,0,139466904286,252260031185,1994645599205,0,116010080411,8914435465737,3140629721212,3112710665552,27919055660,5773805744525,5773805744525,0,1441990375228,0,0,8914435465737,3644740653,0,0,13282287092,0,3537949420000,3537949420000,0,0,71967220419,1506127466877,1084463623,538617000000,0,0,0,-4185339535,82855645584
SSI,2013,4467395844501,1838619478462,1560974883699,1063757995727,0,4043486613,3237677670239,0,135295186898,260803573480,2766722057584,0,74856852277,7705073514740,2379901087847,2353917131753,25983956094,5242182121978,5242182121978,0,1118079667080,0,82990304915,7705073514740,8066208100,0,0,1568090740,0,3537949420000,3537949420000,0,0,150871433750,358961041321,481906824,538617000000,0,0,-167699101173,-5358122972,0
