CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
TPB,2024,25948638000000,-0.09151112806734808,6073575000000,0.3607736384870024,25948638000000,-13042499000000,12906139000000,4386294000000,-1022684000000,3363610000000,318932000000,180000000,1094914000000,1229245000000,-875309000000,353936000000,40000000,18037751000000,-6278856000000,11758895000000,-4159212000000,7599683000000,-1526108000000,-1526108000000,0,0,6073575000000,6073575000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2023,28562417000000,0.3095409360820668,4463325000000,-0.28709351476437944,28562417000000,-16134589000000,12427828000000,3178465000000,-899217000000,2279248000000,779153000000,0,855841000000,872290000000,-977603000000,-105313000000,0,16236757000000,-6701533000000,9535224000000,-3946265000000,5588959000000,-1125634000000,-1125634000000,0,0,4463325000000,4463325000000,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2022,21811015000000,0.25157766906027645,6260744000000,0.2964406579254983,21811015000000,-10424418000000,11386597000000,3596301000000,-904321000000,2691980000000,410216000000,0,426255000000,1324949000000,-622808000000,702141000000,0,15617189000000,-5945257000000,9671932000000,-1843644000000,7828288000000,-1567544000000,-1567544000000,0,0,6260744000000,6260744000000,3958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2021,17426817000000,0.1752455366400654,4829179000000,0.3757603935286675,17426817000000,-7480768000000,9946049000000,2259689000000,-717223000000,1542466000000,373374000000,0,1409742000000,495761000000,-249984000000,245777000000,0,13517408000000,-4570696000000,8946712000000,-2908490000000,6038222000000,-1209043000000,-1209043000000,0,0,4829179000000,4829179000000,3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2020,14828235000000,0.25124728255893736,3510189000000,0.13457280623897405,14828235000000,-7209178000000,7619057000000,1539850000000,-602817000000,937033000000,408138000000,0,710680000000,1096636000000,-402355000000,694281000000,0,10369189000000,-4197293000000,6171896000000,-1783373000000,4388523000000,-878334000000,-878334000000,0,0,3510189000000,3510189000000,3503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2019,11850763000000,0.2642379498943816,3093842000000,0.7138139126253713,11850763000000,-6217441000000,5633322000000,1467046000000,-293101000000,1173945000000,43861000000,0,910692000000,1027006000000,-319363000000,707643000000,0,8469463000000,-3303325000000,5166138000000,-1297949000000,3868189000000,-774347000000,-774347000000,0,0,3093842000000,3093842000000,3691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2018,9373839000000,0.27977399463861874,1805238000000,0.8734133865499388,9373839000000,-4996062000000,4377777000000,864711000000,-188526000000,676185000000,81310000000,0,351959000000,149270000000,-9701000000,139569000000,0,5626800000000,-2846688000000,2780112000000,-522332000000,2257780000000,-452542000000,-452542000000,0,0,1805238000000,1805238000000,2911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2017,7324605000000,0.4157420840770004,963609000000,0.7048659704075115,7324605000000,-4152181000000,3172424000000,280878000000,-115815000000,165063000000,10248000000,0,222633000000,45421000000,-6063000000,39358000000,0,3609726000000,-1941603000000,1668123000000,-462412000000,1205711000000,-242102000000,-242102000000,0,0,963609000000,963609000000,1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2016,5173686000000,0.557694965305011,565211000000,0.0054272804895403445,5173686000000,-3052861000000,2120825000000,146317000000,-60199000000,86118000000,57972000000,0,46260000000,5482000000,-7792000000,-2310000000,0,2308865000000,-1330576000000,978289000000,-271735000000,706554000000,-141343000000,-141343000000,0,0,565211000000,565211000000,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPB,2015,3321373000000,0.42454096214048703,562160000000,0.049047333319588854,3321373000000,-1918454000000,1402919000000,103022000000,-34639000000,68383000000,-48813000000,0,109914000000,37821000000,-17861000000,19960000000,2860000000,1555223000000,-794793000000,760430000000,-134767000000,625663000000,-63503000000,-63503000000,0,0,562160000000,562160000000,1013,,,,,,,,,,,,,,,,
TPB,2014,2331539133146,0.3878175716085782,535876677958,0.4050797111319197,2331539133146,-1352367904771,979171228375,66300114098,-20656230150,45643883948,35254924848,3445709919,-21116401453,133654037794,-28734659155,104919378639,4154566000,1151473290276,-665222164528,486251125748,49625552210,535876677958,0,0,0,0,535876677958,535876677958,966,,,,,,,,,0.0,,,,,,,
TPB,2013,1680004044367,,381385250753,,1680004044367,-1069425914340,610578130027,31642179729,-14704908788,16937270941,11716516984,20378756269,21023896432,212066551891,-6856462001,205210089890,3462425773,889307086316,-423135285711,466171800605,-84786549852,381385250753,0,0,0,0,381385250753,381385250753,688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
